Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
People Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Micron’s vision is to transform how the world uses information to enrich life for all. Join an inclusive team focused on one thing: using our expertise in the relentless pursuit of innovation for customers and partners. The solutions we create help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can spark the very innovation we are pursuing.

Req. ID: 250430

The People Strategy and Analytics Team is responsible for designing, implementing, and supporting reports and analytics that enable leaders to make key workforce decisions using Micron’s People Data. This includes building and managing data structures in the Human Resources Data Warehouse (HRDW), extracting data from 3rd-party source systems, storing and securing data in the HRDW, and organizing data into reports, visualizations, and fully-interactive web applications. We use a variety of platforms and technologies for our work including Microsoft SQL Server, Integration Services, Reporting Services, Power BI, SharePoint, and RStudio Connect. Members of the team should have experience with these tools and skills to produce successful results. A degree in Computer Science or Computer Information Systems combined with previous experience demonstrating a solid understanding of database design, programming languages, and user experience are required to be considered as a candidate for a Data Analyst, Data Engineer, or Data Scientist role.

As an HR Data Scientist, you help to shape Micron’s HR strategies by leading critical people science research projects and presenting key business insights to stakeholders. Your work directly impacts HR strategies, ensuring we continue to attract, develop, and retain the most talented and diverse people in the industry. Your role entails building strong business relationships with our Micron partners and leaders with an eye toward connecting business strategy and people science, to create powerful insights that help support Micron’s HR and overall business strategy. This expectation demands that you draw from—and build on—your broad background in statistics, psychometrics, machine learning, artificial intelligence, information technology, data engineering and/or visualization techniques. Uncovering insightful patterns in data through these traditional and contemporary data mining methods, and designing robust and rigorous people science research studies, is pivotal to this role. Presenting your findings and recommendations to HR and other stakeholders in a clear, polished, unassuming manner, is necessary toward helping our leaders successfully plan the future of people programs at Micron, and ultimately ensuring the company is recognized as a top semiconductor company to work for.

Responsibilities and Tasks

Understand the Business Problem and the Relevant Data
Maintain an intimate understanding of company and department strategy
Translate analysis requirements into data requirements
Identify and understand the data sources that are relevant to the business problem
Develop conceptual models that capture the relationships within the data
Define the data-quality objectives for the solution
Be a subject matter expert in machine learning models, data science best practices, and reporting of analytics
Generate Insights
Discovering new solutions and opportunities by analyzing data, identify patterns and trends
Collecting & modelling large sets of structured and unstructured data from disparate sources
Devising and applying models and algorithms for mining data.
Working with unstructured text data
Qualifications and Experience:
Core statistical knowledge is required to be successful in this role. A degree or certification in Data science will be a plus.
4+ Years of knowledge in predictive & prescriptive modelling, machine learning.
5+ years developing, delivering, and/or supporting advanced analytics or business intelligence solutions
5+ years of experience working with R and Python
Strong working knowledge of databases (mainly TSQL) including SQL and NoSQL.
Experience with one of the clouds is a plus (Azure, Google cloud or Snowflake)
Experience with R (advanced) and Python (for ML) is a must.
Experience working with any of the following technology or solutions is a plus (AutoML, TensorFlow, RStudio Shiny/Connect, Stan)
Experience with following libraries: tidyverse, caret. ggplot2, data.table, plotly, sklearn, numpy, pandas, matplotlib, spacy.
Experience with following ML models: XGBoost and other tree-based models, Bayesian, Time Series, Survival, NLP, growth curve, and all classical models.
Experience in interpretation of ML models (shapely, local models, LIME)
Experience in surveys analysis and sampling strategies
Experience in topic modeling using TensorFlow platform
Strong communication skills (written, verbal and presentation)
Experience working in a global, cross-functional environment
Ability to travel as needed
About Micron Technology, Inc.

We are an industry leader in innovative memory and storage solutions. Through our global brands – Micron® and Crucial® – our broad portfolio of high-performance memory and storage technologies, including DRAM, NAND, 3D XPoint™ memory and NOR, is transforming how the world uses information to enrich life. Backed by more than 40 years of technology leadership, our memory and storage solutions enable disruptive trends, including artificial intelligence, 5G, machine learning and autonomous vehicles, in key market segments like mobile, data center, client, consumer, industrial, graphics, automotive, and networking. Our common stock is traded on the Nasdaq under the MU symbol. To learn more visit micron.com/careers

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

Micron prohibits the use of child labor and complies with all applicable laws, rules, regulations and other international and industry labor standards.

Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.

For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s Human Resources Department at 1-800-336-8918 or 208-368-4748 and/or by completing our General Contact Form

Keywords: Hyderabad || Telangana (IN-TG) || India (IN) || SGA || Experienced || Regular || Human Resources || #LI-RR1 || Tier 4 ||",3.7,"Micron Technology
3.7",Hyderābād,-1,10000+ Employees,1978,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Position Title
Data Scientist

22-Dec-2020

Job ID
303875BR

Job Description
Novartis Business Services IT (NBS IT) is working to support Novartis to deliver better patient outcomes through innovative use of information and technology. As technology is reshaping the healthcare industry, IT will be a differentiator for our businesses, inspiring new ideas and enabling Novartis to reimagine medicine.
To continue to add even greater value for the business we need to have the right people with the right capabilities.
We need to be customer-oriented and focus on bringing the best services and solutions to the business – both globally and locally – to support our patients.
NBS IT offers this extraordinary work experience with a real opportunity to develop in a highly fast-paced technology-driven environment where collaboration and innovation are at the heart of who we are and what we do.
Science, innovation & technology are central to the Novartis mission of caring & curing patients. We have a clear understanding and deep commitment that IT will be a critical factor in our future success.

• Collaborate in multi-functional teams to evaluate business activities, and then develop innovative and effective approaches to seek team’s analytics problems and communicate results and methodologies.
• Ability to initiate and drive projects from conception to completion with minimal direction.
• Innovates and recommends sophisticated predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.
• Establishes scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation. Works to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation.
• Ability to build and fine tune algorithms that scale up from small-scale proof-of-concept stage to full production systems.
• Build knowledge artifacts of business problems that were solved with sophisticated analytics techniques which can be published in journals. Excellent quantitative skills and the ability to tell a story using data

Minimum requirements
• PhD. or Masters from top University in Statistics, Operational Research, Computer Science or in a quantitative field.
• SQL, Python, R, Scala, Tensor Flow, Pytorch are Mandatory Qlikview/Tableau/Spotfire but not limited to these are good to have
• 2+ years after PHD or 5+ years after Masters
• In predictive modeling and large data analysis
• In data querying languages (e.g. SQL), scripting languages (e.g. Python, R, Scala), or deep learning libraries (e.g. tensorflow, pytorch).
• Expertise in at-least some visualization tools such as Qlikview, Spotfire, Tableau (but not limited to these) for designing insights is good to have

Why consider Novartis?

799 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Job Type
Full Time

Country
India

Work Location
Hyderabad, AP

Functional Area
Data Science

Division
NBS

Business Unit
IT NBS

Employment Type
Regular

Company/Legal Entity
Nov Hltcr Shared Services Ind

Shift Work
No",4.1,"Novartis
4.1",Hyderābād,-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Job Description
IMG Systems, Inc. seeks Master’s+1yr/Bachelor’s+5yrs exp/equiv. Data Scientist (IMGDS18): Data Visualization, Natural Language Processing (NLP), Machine Learning (ML), Python, Numpy. Mail resume with job ID to: HR, 400 Chisholm Place, Suite 414, Plano, TX 75075. Travel to unanticipated work sites throughout the U.S. Foreign equiv. accepted.",3.1,"IMG Systems
3.1",Hyderābād,-1,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"We are looking for a Data Scientist who will support our support, sales, leadership and other teams with insights gained from analyzing company and customer data. The ideal candidate is adept at using different data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. This person will also be responsible for building tools/platforms to make it easier for others to leverage ML capability and spread culture of ML by doing brown bags etc.

Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Build tools/platforms to make it easier for others to leverage ML capability and spread culture of ML by doing brown bags etc.
Mine and analyze data from company databases to drive optimization and improvement of support process, product development, sales opportunities and other improvements
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications:
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
We’re looking for someone with 4-8 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:
Coding knowledge and experience with programming languages like python, java etc
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Familiarity with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders
]]>",3.9,"Nutanix
3.9",Bangalore,-1,5001 to 10000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Responsibilities for Data Scientist
Work with stakeholders throughout the organization to build proof of concepts for new business solutions.
Efficiently explore new data sources and assess data gathering techniques.
Help to conceptually frame and refine relevant business questions.
Build robust data pipelines.
Develop custom machine learning models and algorithms.
Coordinate with different functional teams to implement and productionize models while monitoring the performance.
Communicate findings to different stakeholders.
Essential Skills and Qualifications for Data Scientist
At least 3 years experience in a Data Science role
Strong critical thinking and problem-solving skills.
Experience using statistical computer languages (preferably python or R) to manipulate data and draw insights from large data sets.
Experience working with databases (e.g. SQL).
Profound knowledge of a variety of machine learning techniques (clustering, classification, regression, deep learning) and their real-world advatages/drawbacks.
Good knowledge of advanced statistical techniques and concepts (hypothesis testing, Bayesian statistics, properties of distributions) and experience with applications.
Excellent written and verbal communication skills for coordination and communication.
Curiosity and research attitude to learn new ideas and techniques.
Coding experience (preferably python) to write robust and high standard code; experience with version control (preferably git)
Its a bonus if you also have
Automotive
Deep learning
Probabilistic graphical models
Numerical optimization
Economics
-----------------------------------------------

Inclusion and diversity are critical to the success of IHS Markit, and we actively encourage applications from people of all backgrounds. We are committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, status as a protected veteran, or any other protected category. For more information on the many ways in which we enthusiastically support inclusion and diversity efforts for both candidates and employees, please access our Inclusion & Diversity Statement here.
We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.",4.1,"IHS Markit
4.1",Gurgaon,-1,10000+ Employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),-1
Associate-Data Science,₹438K - ₹641K (Glassdoor Est.),"Skill required: Data Science - Python Programming Language
Designation: Management Level - Associate
Job Location: Mumbai
Qualifications: Any Graduation
Years of Experience: 1-3 years
About Accenture Operations


In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how do organizations sustain themselves? The key is a new operating model-one that's anchored around the customer and propelled by intelligence to deliver exceptional experiences across the enterprise at speed and at scale. You will deliver breakthrough business outcomes for clients-by harnessing talent, data and intelligence to revolutionize their operating models. Operations is one of four services that make up one Accenture -the others are Strategy and Consulting, Interactive and Technology. Visit us at www.accenture.com



What would you do?


You will be aligned with our Insights & Intelligence vertical and help us generate insights by leveraging different analytics tools and techniques to deliver value to our clients. You will also help us apply your expertise in building world class solutions, conquering the business problems, addressing technical challenges using AI Platforms and technologies. You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services necessary for AI applications that scale from multi-user to enterprise class and demonstrate self as an expert by actively blogging, publishing research papers and creating awareness in this emerging area.

In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant business value. This will involve creating models and processes to collect, distill and interpret data with a view to aid more informed decision making, examine and explore data from multiple sources with the goal of discovering insights which in turn can provide competitive advantage for our client.

The Python Programming Language team focuses on building multiple programming paradigms including procedural, object-oriented and functional programming. The team is responsible for writing logical code for different projects and take a constructive and object-orientated approach.

Roles and Responsibilities
In this role, you are required to solve routine problems, largely through precedent and referral to general guidelines
Your expected interactions are within your team and direct supervisor
You will be provided detailed to a moderate level of instruction on daily work tasks and detailed instruction on new assignments and the decisions that you make that would impact your work
You will need to be well versed with basic statistics and terms involved in the day to day business and use it while discussing with stakeholders
You will be required to help in the overall team's workload by managing your deliverables and help the team when required
You will be an individual contributor as a part of a team, with a predetermined focused scope of work.
Please note this role may require you to work in rotational shifts.",3.9,"Accenture
3.9",Mumbai,-1,10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Roles & Responsibilities:
· Experience on deep-learning frameworks such as TensorFlow, Keras and Pytorch
· Must have experience in Deep learning, Image processing and Video Analysis.
· Must have experience on OpenCV
· Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas
· Expertise in visualizing and manipulating big datasets
· Real time experience on deep learning algorithms like CNN, YOLO, SSD and Fast_RCNN, CAFFE, CAFFE 2.
· Ability to transform natural language data into useful features using NLP techniques to feed classification algorithms
· Proficiency in Databases like SQL, No SQL, MONGO DB.
· Familiarity with Linux
· Deep knowledge of math, probability, statistics and algorithms
· Ability to write robust code in Python.
· Hands on exposure to various open source NLP packages like NLTK, Spacy, core NLP.
· Experience with working on sentimental analysis, word embeddings, topic modelling, information extraction, Named Entity Recognition, Text Summarization.
Skills:
· Excellent written and verbal communication skills
· Good problem-solving skills
· Bachelor's Degree in Computer Science or equivalent work experience.
Job Type: Full-time
Salary: From ₹25,000.00 per month
Schedule:
Day shift
Supplemental Pay:
Yearly bonus
Industry:
Production & Manufacturing
Work Remotely:
No",-1,Vistan NextGen Pvt Ltd,Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"""Responsibilities: Passion for learning new technologies and be up to date with the scientific research community. Work in technical teams in development, deployment, and application of machine learning solutions, leveraging technical components and explaining the modelling decisions Take responsibility for insights, reports and explanability of the decisions taken by predictive models Responsible for taking an idea from concept to production thoroughly with feedback from all stakeholders. Skills Required: Must have hands-on experience: Pyspark, Kafka, Redshift, APIs, Flask, AWS and Docker. Must have minimum of 4+ years of industry experience in developing data science models. Deep understanding and experience in the field of Statistical Modelling, Statistical Analysis and Machine Learning Must have thorough mathematical knowledge of correlation/causation, decision trees, classification and regression models, recommenders, probability and stochastic processes, distributions, priors and posteriors. Skilled at scientific programming languages such as Python, R, Matlab and writing deployable code into production. Familiarity with R, Apache Spark, and other scientific python/R modules is a must. Qualifications Bachelors in Computer Science/ Statistics/Econometrics/Applied Mathematics/Applied Statistics/Operations Research is a must Masters in the above fields is good to have.""",3.6,"Larsen & Toubro Infotech Limited
3.6",India,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"The Compliance Intelligence team in Microsoft 365 Security and Compliance organization is looking for an experienced, energetic, and hands on compliance Data analysts.

With exponentially growing data, expanding to clouds and growing data regulations, companies have a need for advanced intelligent systems to help them Protect, Govern, Manage risk, Discover. Investigate and respond with relevant data. Our team delivers the intelligence behind Compliance suite for Microsoft 365 customers. These award-winning intelligent technologies provide world class, enterprise data loss prevention, eDiscovery, auditing, information protection, information governance, regulations, and privacy solutions to 10s of millions of Microsoft 365 customers both on premises and in the cloud. This suite goes across Microsoft workloads and is a revenue and usage growth engine for Microsoft.
We are looking for candidates who are passionate about leading and pushing forward cutting-edge analysis and reserch for managing complex intelligent solutions for compliance scenarios.
Responsibilities
The role involves:
Explore and correlate large data sets to uncover gaps in the intelligent compliance systems.
Identify and implement complex intelligent rules to maintain high effectiveness based on analysis of the issues.
Manage and constantly improve the intelligent systems and models by improving data used for training.
Define processes and automation for scaling to large number of models.
Define and manage effectiveness and quality metrics.
Work with customer support teams to support investigation and response to customer issues.
Collaborate with our Applied AI teams and compliance program manager teams to propose long term solutions driven by data insights.
Qualifications
Qualifications
3+ years of experience as a data scientist or analysts
Experience using analysis tools, defining, and implementing intelligent solutions on data.
Skilled working with large data sets, using big data tools and scripting languages such as: Excel, SQL, Python, Splunk, and PowerBI
Excellent cross-group and interpersonal skills, with the ability to articulate solutions.

The following additional experiences are favorable, but not required:
Experience working as a data scientist or Analyst in HR, Finance, Legal or compliance departments.
Experience with regulations and business processes in enterprises.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.4,"Microsoft
4.4",Hyderābād,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Business Unit:
Cubic Corporation
Company Details:
Cubic offers an opportunity to provide innovative technology for government and commercial customers around the globe, helping to solve their future problems today. We’re the leading integrator of payment and information technology and services for intelligent travel solutions worldwide, and the leading provider of realistic combat training systems, secure communications and networking and highly specialized support services for military and security forces of the U.S. and allied nations. If you have an entrepreneurial spirit and thrive in an innovative environment, we want to talk to you about your next role at Cubic! We are seeking employees inspired by technology, and motivated by the rewards of hard work, commitment, teamwork, quality, integrity, and respect. We invite you to explore opportunities with Cubic.
Job Details:
Job Summary:
Works closely with the data science team to build information-rich data products using innovative techniques and technologies to solve transportation related challenges and problems. Understands and leverages data mining, machine learning, data modeling, and statistical modeling techniques. Applies strong problem solving and analytic skills to data integration projects and is able to isolate non-obvious relationships between disparate data sources. This position typically works under general supervision and direction. Incumbents of this position will regularly exercise discretionary and substantial decision-making authority.
Essential Job Duties and Responsibilities:
Design, develop and program methods, processes, and systems to consolidate and analyze data from diverse sources
Generate actionable insights and solutions from data for client services and product enhancements
Define data models and develop transformation pipelines using python and scala
Develop and automate processes to cleanse, integrate and evaluate large datasets from multiple disparate sources
Build tools to automate data ingestion into a cloud platform environment
Scraping, data ingestion and data integration from multiple sources and databases, including web APIs, Protobuf feeds, SQL databases
Create, test, maintain, and update predictive models to predict asset failures and recommend maintenance cycles
Use inferential techniques to develop models of passenger behavior
Prepare and deliver presentations that effectively describe complex quantitative methods in clear and concise communications
Feature extraction and generation
Keep up to date with technical as well as industry developments, analytics software/tools, trends, and recognized best practices
Contribute to projects under the direction of project and product owners to adhere to funding, resourcing, schedule, and other constraints
Minimum Job Requirements:
4+ years of hands-on data science experience. Intermediate python and SQL knowledge. Experience with database management systems and other software tools used to manage an organization’s business activities. Knowledge and experience developing algorithms and analytics applications. Familiar with cloud computing, Azure and/or AWS, PaaS, IaaS. Strong analytical and problem-solving skills, attention to detail, critical thinking ability, and creativity. Must be able to abstract from ambiguous and sometimes conflicting information to identify opportunities for improvement and the critical business drivers and factors that influence outcomes. Must have demonstrated ability to produce high quality analytics applications that can be deployed in a repeatable and scalable fashion. Requires strong knowledge of statistics, signal processing, machine learning, predictive analytics, and other related techniques. Must have excellent written and verbal communication skills used to effectively communicate and present complex information in terms appropriate to the audience. Incumbent will have well-developed research skills and knowledge of current data management principles, procedures, and other tools of the trade. Must be able to manage and prioritize multiple projects simultaneously while balancing according to scope, budget and schedule. Prior experience working in defense, transportation or logistics industries desired.
The description provided above is not intended to be an exhaustive list of all job duties, responsibilities and requirements. Duties, responsibilities and requirements may change over time and according to business need.
Worker Type:
Employee",3.2,"Cubic Corporation
3.2",Hyderābād,-1,5001 to 10000 Employees,1951,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1
Data and Applied Scientist,₹438K - ₹641K (Glassdoor Est.),"Highly exciting time for Azure as we strive towards our goal of being world’s computer. Cloud Supply chain and Provisioning organization, within Azure, is responsible for delivering cloud capacity differentiated at scale for our customers. Our mission is to deliver capacity for all cloud services predictably through intelligent systems driven by continuous learning and world class organization. Global capacity team’s mission, within CSCP, is to deliver the best customer capacity experience by intelligent and proactive management of all Microsoft cloud capacity. Are you passionate about solving large scale, customer focused cloud capacity models with deep analytics and varied data science techniques to ensure we provide the best capacity experience for our customers? We have an exciting opportunity for a seasoned data and applied scientist, who is passionate about building deep analytics, insights and optimization capabilities. The Sr. Data and Applied Scientist is a key member of the team and will play a crucial role in building deep customer capacity modeling, analytics and data science based approaches, work across disciplines and teams, identify trade-offs, drive decisions and lastly, execute, measure and continuously improve key performance indicators and maintain a culture of continuous improvement. Candidate will build prototypes to demonstrate the benefits from proposed changes to the decision systems and operational processes. Partner closely with business and engineering groups. Provide analysis using mathematical modeling tools to benchmark existing operations/processes as well as to identify opportunities for improvement. Work closely with engineering teams in enhancing the prototypes and implementing them in our production environment. Effectively communicate with senior management as well as with colleagues from computer science, operations research and business backgrounds. #BingEng
Responsibilities
The Sr. Data and Applied Scientist is a key member of the team and will play a crucial role in building deep customer capacity modeling, analytics, insights and data science based approaches to continuously improve capacity availability decision making on behalf of our customers. Capacity models encompasses capacity quotas, prediction of customer usage, capacity risk simulations, differentiated customer capacity experiences, customer experience metrics optimization and scaling and optimizing customer capacity experience at the lowest grain and across resources (availability zones, subscriptions, resource types to regions etc.)
Candidate will build prototypes to demonstrate the benefits from proposed changes to existing or new models
Partner closely with business and engineering groups. Provide analysis using mathematical modeling tools to benchmark existing operations/processes as well as to identify opportunities for improvement.
Work closely with engineering teams in enhancing the prototypes and implementing them in our production environment.
Effectively communicate with senior management as well as with colleagues from computer science, operations research and business backgrounds.
Design, prototype, implement and test descriptive, predictive analytics, forecasting, and causal inference models
Work with data engineers to architect and develop operational models that run at scale
Communicate with technical and non-technical audiences, and contribute modeling expertise as a team player
Qualifications
Master’s degree or higher in Statistics, Math, Econometrics, Computer Science, Operations Research with a significant quantitative component or other related field or equivalent training
7+ years of industry work experience in R or Python to implement statistical models, machine learning, and analysis (Recommenders, Prediction, Classification, Clustering, etc.) in big data environment
Exceptional written and verbal communication to educate and work with cross functional teams
Be self-driven, and show ability to deliver on ambiguous projects with incomplete or dirty data
Experience in building full stack data science models with various Azure technologies.

CLOUD SCREENING
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check every two years.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.4,"Microsoft
4.4",Hyderābād,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"We provide Virtual Business Process Services to various types of overseas clients and this position is to be part of the team which provides support to USA client from Mortgage Finance industry. Hence we are looking to hire Data Scientist with experience in analyzing large amounts of data and information. Data Scientist will provide data manipulation, scrubbing and synthesizing of information into easy to read weekly, monthly and quarterly reports.
RESPONSIBILITIES
Work with large data sets and produce real-time and streamlined analysis
Work will include analyzing lender performance, asset type, leverage, etc.
Analyze third party vendor data and helping to apply that data retroactively to back-test default history
Ability to perform data mining
Pro-actively apply data frameworks to better optimize pool performance
Participate in client conversations, phone calls, company presentations, etc.
Develop forms and enhanced data tools to streamline processes and create efficiencies.
Will include data tracking and pipeline management.
QUALIFICATIONS and EXPERIENCE
Strong intellect with solid communication, quantitative, financial and analytical skills
College degree in Finance, Math, Engineering, Computer Science, Statistics, Economics or related field
Strong modeling skills to include Excel VBA and Macros, SQL (Python and Tableau a plus), Access, etc.
3+ Years of experience in similar roles
Excellent written and English verbal communication skills who works well with others in a team environment.
Strong analytical skills and attention to detail
Ability to interpret and error-check work to ensure analysis is logical
Experience with real estate mortgages is a plus
Self-starter and motivated individual with a good attitude
Ability to multi-task while working independently in a fast-pace environment
SKILLS
Advanced MS Excel skills, Excel VBA and Macros and MS PowerPoint skills
Data Science, Data Analytics and Reporting
Working Knowledge in Data Visualization Applications
Creative problem solver, Exceptional interpersonal skills, Impeccable integrity and trustworthiness
Strong Knowledge in using internet and web based applications
QUALITIES
Strong commitment to support overseas client with utmost care.
Good team player with greater level of integrity
Maintains Strict confidentiality of Client’s Data and information
Self-Motivated and Tough task master.
Quick learner and continuous learner of new technologies.
Location: Hi-Tech City, Hyderabad
Timings: USA Shift IST 5-30pm to 2-30am
salary range: As Per Industry Standards
Send Application TO: hr@finacplus.com",3.9,"FinAcPlus
3.9",Hyderābād,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
